ruta,provincia,tipo,licencia,costo_dop,horario,dias,vehiculos,origen,destino,federacion,actualizado
A-11,SANTO DOMINGO,AUTOBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,24,N/A,N/A,SINDICATO NACIONAL DE CHOFERES Y COBRADORES UNIFICADOS DE LOS FARALLONES (SINACHOCOUNFA),18/7/2025
A-20A,SANTO DOMINGO,AUTOBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,14,N/A,N/A,ASOCIACIÓN DE PROPIETARIOS Y COBRADORES DE INVIVIENDA SANTO DOMINGO (ASOPROCHOCOIN),18/7/2025
A-20B,SANTO DOMINGO,AUTOBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,26,N/A,N/A,ASOCIACIÓN DE PROPIETARIOS Y COBRADORES DE INVIVIENDA SANTO DOMINGO (ASOPROCHOCOIN),18/7/2025
A-31 (Inactiva),SANTO DOMINGO,AUTOBUS,Urbano,35,5:30 a.m. a 10:30 p.m.,7,38,N/A,N/A,CARIBE TOURS (CARIBE TOURS),18/7/2025
A-69,SANTO DOMINGO,AUTOBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,19,N/A,N/A,COOPERATIVA DE SERVICIOS NUEVA IMAGEN (RUTA 69),18/7/2025
ASOPROGCHOCO,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,06:00AM / 06:00PM,7,0,DISTRITO NACIONAL,ELIAS PIÑA,FENATRANO,18/7/2025
ASOTOURSD,DISTRITO NACIONAL,AUTOBUS,Interurbano,700,N/A,7,1,DISTRITO NACIONAL,JIMANI (FRONTERA CON HAITI),NO AFILIADO-S,18/7/2025
CAMINADO TOURS SRL,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,08:00AM / 10:00AM,7,1,SANTO DOMINGO,HAITI (FRONTERA CON ELIAS PIÑA),NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,450,06:15AM / 10:00AM / 01:45PM,7,6,SANTO DOMINGO,BARAHONA,NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,350,10:30AM / 08:00PM,7,6,SANTO DOMINGO (TERMINAL LAS AMÉRICAS)-LA VEGA,SANTIAGO,NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,08:00AM/10:00AM/12:00PM/03:00PM,7,4,SANTO DOMINGO,RIO SAN JUAN (AUTOVÍA DEL NORDESTE),NO AFILIADO-S,18/7/2025
